vader_sentiment,flair_sentiment,uk_new_case,us_new_case,germany_rki_new_cases,mcx_stock,dji_stock,dax_stock
-0.06937536666666658,-0.4906666666666666,2,1,1,25.020000457763672,28813.0390625,13208.4697265625
-0.032456666666666766,-0.4626666666666666,0,1,5,25.020000457763672,28813.0390625,13208.4697265625
-0.05027656666666664,-0.498,0,3,4,25.01499938964844,28630.390625,13077.5703125
-0.04523920000000002,-0.5093333333333333,0,0,2,24.989999771118164,28904.880859375,13282.6298828125
-0.03872446666666672,-0.4866666666666667,1,0,1,25.020000457763672,29308.890625,13488.580078125
-0.043707900000000084,-0.4606666666666666,0,1,1,25.0,29408.05078125,13606.9697265625
-0.03553973333333334,-0.5013333333333333,1,0,2,25.07999992370605,29286.919921875,13551.0302734375
-0.03740633333333339,-0.48,0,0,0,25.07999992370605,29286.919921875,13551.0302734375
-0.04846930000000007,-0.4726666666666667,0,0,2,25.07999992370605,29286.919921875,13551.0302734375
-0.04684770000000005,-0.5033333333333333,4,0,6,25.01000022888184,29278.0703125,13501.740234375
-0.04488379999999998,-0.5206666666666667,1,1,5,25.20000076293945,29415.390625,13668.4296875
-0.030168600000000063,-0.4793333333333333,0,0,6,25.10000038146973,29568.5703125,13758.7001953125
-0.0246164333333334,-0.4773333333333333,1,1,6,25.040000915527344,29535.400390625,13745.4296875
-0.03410820000000008,-0.45399999999999996,0,1,8,25.040000915527344,29463.0390625,13788.509765625
-0.02232296666666671,-0.426,0,0,12,25.040000915527344,29463.0390625,13788.509765625
-0.029866933333333418,-0.44133333333333336,0,0,8,25.040000915527344,29463.0390625,13788.509765625
-0.05960736666666665,-0.474,0,0,9,25.040000915527344,29463.0390625,13795.240234375
-0.012891533333333307,-0.498,0,0,9,25.040000915527344,29330.16015625,13731.3896484375
-0.05560049999999988,-0.4906666666666666,0,0,10,25.0,29409.08984375,13789.0
-0.042770133333333384,-0.4726666666666667,0,0,33,25.020000457763672,29368.44921875,13788.41015625
-0.038568423186056036,-0.4471017430077017,0,1,19,25.020000457763672,29146.529296875,13689.23046875
-0.033320733333333415,-0.43533333333333335,0,19,28,25.020000457763672,29146.529296875,13689.23046875
-0.0681314666666667,-0.536,1,0,44,25.020000457763672,29146.529296875,13689.23046875
-0.06671083333333322,-0.5533333333333333,0,0,69,24.979999542236328,28402.9296875,13236.580078125
-0.08544589999999994,-0.5606666666666666,0,18,103,25.149999618530273,28149.19921875,13132.0400390625
-0.07997876666666666,-0.532,2,0,152,25.04999923706055,27542.779296875,12849.169921875
-0.08580059999999988,-0.5386666666666666,5,6,162,25.10000038146973,26775.310546875,12593.6201171875
-0.059096999999999934,-0.5546666666666666,4,1,217,25.040000915527344,25494.240234375,12008.58984375
-0.07633340000000008,-0.528,8,6,191,25.040000915527344,25494.240234375,12008.58984375
-0.05080876666666671,-0.4966666666666666,12,3,222,25.040000915527344,25494.240234375,12008.58984375
-0.07226753333333337,-0.562,5,20,287,25.0,26706.169921875,12121.599609375
-0.06487190000000001,-0.5233333333333333,22,14,294,25.0,27084.58984375,12272.990234375
-0.07515970000000008,-0.5393333333333333,40,22,408,25.040000915527344,27102.33984375,12199.8203125
-0.05739483333333319,-0.502,55,34,436,25.040000915527344,26671.919921875,12207.76953125
-0.08035100000000002,-0.4693333333333333,56,74,670,25.03000068664551,25994.380859375,11769.849609375
-0.06002243333333345,-0.4773333333333333,51,105,796,25.03000068664551,25994.380859375,11769.849609375
-0.060442966666666535,-0.5033333333333333,81,95,1082,25.03000068664551,25994.380859375,11769.849609375
-0.07316226666666678,-0.5006666666666667,60,121,1702,24.96999931335449,24992.359375,10995.2197265625
-0.05216846666666669,-0.4746666666666667,57,200,2210,24.8799991607666,25020.990234375,11032.2900390625
-0.05054746666666684,-0.4753333333333333,148,271,2759,24.79999923706055,24604.630859375,10761.4296875
-0.05581396666666661,-0.44333333333333336,259,287,3101,24.540000915527344,22837.94921875,9932.5595703125
-0.03243386666666677,-0.45,406,351,3843,23.99900054931641,23189.759765625,9985.740234375
-0.051338766666666674,-0.4186666666666667,484,511,3830,23.99900054931641,23189.759765625,9985.740234375
-0.046022699999999916,-0.38133333333333336,478,777,3976,23.99900054931641,23189.759765625,9985.740234375
-0.04068173333333338,-0.38533333333333336,361,823,5406,23.39800071716309,21768.279296875,8967.1103515625
-0.049719533333333336,-0.386,442,887,4889,23.56399917602539,21379.349609375,9145.9296875
-0.035561000000000134,-0.38799999999999996,611,1766,5122,17.760000228881836,20489.330078125,8670.41015625
-0.031435266666666635,-0.3526666666666667,769,2988,4579,13.630000114440918,20442.630859375,8668.48046875
-0.025896666666666686,-0.342,999,4835,5156,15.300000190734865,20531.259765625,9201.0703125
-0.017412433333333376,-0.324,1055,5374,4183,15.300000190734865,20531.259765625,9201.0703125
-0.02150143333333337,-0.386,1255,7123,3340,15.300000190734865,20531.259765625,9201.0703125
-0.030145933333333364,-0.3506666666666667,1198,8459,4933,15.649999618530273,19121.009765625,9071.1396484375
-0.02221743333333337,-0.376,1378,11236,4037,16.329999923706055,20737.69921875,9700.5703125
-0.03628216666666673,-0.36933333333333335,2338,8789,4531,17.389999389648438,22019.9296875,10137.6201171875
0.0036236999999999906,-0.2953333333333333,2375,13963,4291,18.450000762939453,22595.060546875,10000.9599609375
-0.0030237333333333178,-0.2966666666666667,2692,16797,4509,18.13999938964844,22327.5703125,9886.1796875
-0.014711600000000094,-0.35600000000000004,3087,18695,3969,18.13999938964844,22327.5703125,9886.1796875
-0.044561866666666616,-0.34600000000000003,3197,19979,3057,18.13999938964844,22327.5703125,9886.1796875
-0.03696290000000007,-0.38799999999999996,2822,18360,4328,18.6299991607666,22378.08984375,9817.509765625
-0.0260238333333333,-0.3313333333333333,2858,21595,4018,18.649999618530273,22480.369140625,10096.419921875
-0.058426533333333225,-0.4,4273,24998,4471,18.520000457763672,21487.240234375,9686.4599609375
-0.04198906666666671,-0.38866666666666666,4514,27103,4297,18.049999237060547,21477.76953125,9650.26953125
-0.036466333333333455,-0.3453333333333333,4913,28819,4469,17.299999237060547,21447.810546875,9626.7197265625
-0.02689846666666665,-0.33399999999999996,4868,32425,3299,17.299999237060547,21447.810546875,9626.7197265625
-0.023307766666666712,-0.36933333333333335,4911,34272,2633,17.299999237060547,21447.810546875,9626.7197265625
-0.0201617333333334,-0.35600000000000004,4020,25398,3508,18.690000534057614,22783.44921875,10097.3095703125
-0.030142700000000074,-0.3446666666666667,3592,30561,3520,20.920000076293945,23617.240234375,10590.41015625
-0.023037800000000004,-0.3466666666666667,5282,30613,3516,21.69499969482422,23513.400390625,10340.7900390625
-0.0268372666666668,-0.364,5450,33323,3343,22.030000686645508,24008.990234375,10649.7900390625
-0.03747573333333325,-0.32799999999999996,5131,33901,2589,22.030000686645508,24008.990234375,10649.7900390625
-0.049472333333333306,-0.366,4858,35527,2329,22.030000686645508,24008.990234375,10649.7900390625
-0.05025070000000008,-0.3506666666666667,4313,28391,1908,22.030000686645508,24008.990234375,10649.7900390625
-0.03692630000000005,-0.36733333333333335,3579,27620,1777,21.71999931335449,23698.9296875,10649.7900390625
-0.056102699999999985,-0.37533333333333335,3489,25023,2076,22.350000381469727,24040.580078125,10820.169921875
-0.04325746666666667,-0.3426666666666667,4178,26922,2214,21.989999771118164,23649.720703125,10678.1904296875
-0.028518100000000074,-0.318,4326,30148,2185,21.790000915527344,23598.080078125,10438.3701171875
-0.02540340000000011,-0.3466666666666667,5065,31667,2220,21.3700008392334,24264.2109375,10756.7802734375
-0.038428300000000026,-0.3353333333333333,5292,30833,1651,21.3700008392334,24264.2109375,10756.7802734375
0.0052057333333332895,-0.4166666666666667,4956,32922,1294,21.3700008392334,24264.2109375,10756.7802734375
-0.04535600000000006,-0.3626666666666667,4721,24601,1636,21.350000381469727,24108.689453125,10707.3095703125
-0.0077439333333333684,-0.3473333333333333,3853,28065,1541,21.01499938964844,23365.25,10524.73046875
-0.03850623333333353,-0.37133333333333335,4854,37289,1735,21.44499969482422,23613.099609375,10425.01953125
-0.04628286666666676,-0.3453333333333333,4760,17588,1600,21.200000762939453,23885.359375,10608.3896484375
-0.016777066666666732,-0.344,5487,26543,1471,21.549999237060547,23826.0,10486.4697265625
-0.021937933333333392,-0.358,5158,21352,1134,21.549999237060547,23826.0,10486.4697265625
-0.01736660000000005,-0.3393333333333333,4970,48529,767,21.549999237060547,23826.0,10486.4697265625
-0.01935396666666672,-0.39066666666666666,3748,26857,1185,21.645999908447266,24207.650390625,10660.3603515625
-0.026130266666666704,-0.3533333333333333,3473,22541,1095,22.54999923706055,24512.240234375,10897.8203125
-0.03387549999999998,-0.33,4706,24132,1079,22.989999771118164,24764.76953125,11125.349609375
0.009659500000000005,-0.3426666666666667,4729,27326,1133,23.04999923706055,24585.5703125,11235.5703125
-0.019095166666666732,-0.3566666666666667,5442,29917,849,21.96999931335449,24120.779296875,11235.5703125
-0.041739100000000126,-0.3606666666666667,4966,33955,674,21.96999931335449,24120.779296875,11235.5703125
-0.014677733333333325,-0.3366666666666667,4737,29288,588,21.96999931335449,24120.779296875,11235.5703125
-0.04580393333333333,-0.3593333333333333,3229,24972,819,22.399999618530273,23769.560546875,10578.4296875
-0.02328816666666665,-0.292,2982,22593,909,22.562000274658203,24169.720703125,10736.9501953125
-0.035080666666666746,-0.354,3389,23841,924,21.850000381469727,24054.58984375,10773.8603515625
-0.01125496666666667,-0.35,3682,24128,845,21.899999618530273,24094.619140625,10761.8603515625
-0.0012967666666666665,-0.3273333333333333,3827,28369,823,22.31999969482422,24349.900390625,10918.3203125
-0.02764953333333341,-0.312,3767,26957,607,22.31999969482422,24349.900390625,10918.3203125
-0.0217442666666667,-0.3346666666666667,3063,25612,439,22.31999969482422,24349.900390625,10918.3203125
-0.034496766666666706,-0.3953333333333333,2157,20258,663,22.350000381469727,24366.2109375,10986.2197265625
-0.048373266666666685,-0.3486666666666667,2329,18117,636,23.0,24382.08984375,10886.009765625
-0.037978733333333466,-0.3873333333333333,3586,22048,719,23.0,23708.900390625,10698.1298828125
-0.02534160000000002,-0.35,3402,20782,633,22.030000686645508,23630.859375,10474.080078125
-0.025604800000000073,-0.31466666666666665,3307,27143,704,22.79999923706055,23730.080078125,10547.1904296875
-0.03042440000000001,-0.3113333333333333,2628,25508,497,22.79999923706055,23730.080078125,10547.1904296875
-0.030781266666666682,-0.3893333333333333,2526,24487,391,22.79999923706055,23730.080078125,10547.1904296875
-0.029257966666666694,-0.41200000000000003,2079,18873,617,22.60000038146973,24708.5390625,11089.5
-0.01965573333333339,-0.3513333333333333,1838,21841,530,22.70000076293945,24599.5,11201.1796875
-0.015425099999999997,-0.3553333333333333,2589,19970,712,22.79999923706055,24649.48046875,11246.91015625
-0.031697000000000045,-0.3473333333333333,3052,23285,404,22.70000076293945,24718.4609375,11194.919921875
-0.026863400000000117,-0.29,2718,25434,446,22.79999923706055,24481.640625,11138.150390625
-0.020761333333333413,-0.298,2574,24147,352,22.79999923706055,24481.640625,11138.150390625
-0.020972133333333445,-0.2873333333333333,2062,21236,290,22.79999923706055,24481.640625,11138.150390625
-0.05085476666666657,-0.3486666666666667,1527,20568,436,22.79999923706055,24481.640625,11391.2802734375
-0.0446818333333334,-0.34,1364,19064,544,22.79999923706055,25176.419921875,11544.349609375
-0.0533325666666667,-0.3433333333333333,1624,18910,505,22.96999931335449,25551.560546875,11747.2001953125
-0.056639066666666675,-0.3373333333333333,1672,18721,399,23.05400085449219,25758.7890625,11813.1396484375
-0.08394006666666676,-0.39466666666666667,1835,21817,355,23.649999618530273,25482.80078125,11729.98046875
-0.06710433333333342,-0.37333333333333335,1760,25337,303,23.649999618530273,25482.80078125,11729.98046875
-0.0988377000000001,-0.39399999999999996,1527,23297,164,23.649999618530273,25482.80078125,11729.98046875
-0.13485083333333295,-0.4513333333333333,1125,19807,162,23.649999618530273,25508.830078125,11729.98046875
-0.10007913333333336,-0.42200000000000004,1079,21086,223,23.709999084472656,25743.130859375,12055.5703125
-0.07211289999999995,-0.39866666666666667,1441,20544,350,24.60000038146973,26337.75,12507.41015625
-0.0680920666666668,-0.4053333333333333,1484,19699,325,23.70000076293945,26384.099609375,12558.240234375
